expense_id,user_id,category,amount,currency,description,date,location,tags
exp64,user_014,FOOD,44.29,USD,Lunch at restaurant in Uptown,2024-03-04,Uptown,meal
exp65,user_015,FOOD,59.8,USD,Dessert in Downtown,2024-03-05,Downtown,meal
exp66,user_016,DINING,68.45,USD,Dining experience in Beach Area,2024-03-06,Beach Area,meal
exp67,user_017,ACCOMMODATION,287.61,USD,Hotel/Hostel in Suburban,2024-03-07,Suburban,travel
exp68,user_018,ACCOMMODATION,168.39,USD,Hotel/Hostel in Suburban,2024-03-08,Suburban,travel
exp69,user_019,NIGHTLIFE,56.8,USD,Bar/Club in Downtown,2024-03-09,Downtown,nightlife
exp70,user_020,TRANSPORT,35.63,USD,Taxi/Bus/Train rides in Arts District,2024-03-10,Arts District,travel
exp71,user_021,DINING,59.04,USD,Dining experience in Uptown,2024-03-11,Uptown,meal
exp72,user_022,ACTIVITIES,118.78,USD,Tour/Adventure activity in Chinatown,2024-03-12,Chinatown,activities
exp73,user_023,ENTERTAINMENT,18.23,USD,Concert/Movie/Show in Midtown,2024-03-13,Midtown,entertainment
exp74,user_024,SHOPPING,21.13,USD,Shopping in Uptown,2024-03-14,Uptown,shopping
exp75,user_025,NIGHTLIFE,61.18,USD,Bar/Club in Arts District,2024-03-15,Arts District,nightlife
exp76,user_026,ACCOMMODATION,211.69,USD,Hotel/Hostel in Downtown,2024-03-16,Downtown,travel
exp77,user_027,ENTERTAINMENT,29.28,USD,Concert/Movie/Show in Uptown,2024-03-17,Uptown,entertainment
exp78,user_028,ENTERTAINMENT,24.32,USD,Concert/Movie/Show in Beach Area,2024-03-18,Beach Area,entertainment
exp79,user_029,TRANSPORT,53.87,USD,Taxi/Bus/Train rides in Suburban,2024-03-19,Suburban,travel
exp80,user_030,NIGHTLIFE,61.61,USD,Bar/Club in Midtown,2024-03-20,Midtown,nightlife
exp81,user_031,FOOD,17.69,USD,Café meal in Harbor,2024-03-21,Harbor,meal
exp82,user_032,NIGHTLIFE,58.55,USD,Bar/Club in Suburban,2024-03-22,Suburban,nightlife
exp83,user_033,TRANSPORT,83.17,USD,Taxi/Bus/Train rides in Plaza District,2024-03-23,Plaza District,travel
exp84,user_034,SHOPPING,176.58,USD,Shopping in Plaza District,2024-03-24,Plaza District,shopping
exp85,user_035,NIGHTLIFE,67.89,USD,Bar/Club in Old Town,2024-03-25,Old Town,nightlife
exp86,user_036,NIGHTLIFE,64.71,USD,Bar/Club in Downtown,2024-03-26,Downtown,nightlife
exp87,user_037,ACTIVITIES,84.11,USD,Tour/Adventure activity in Suburban,2024-03-27,Suburban,activities
exp88,user_038,FOOD,71.58,USD,Street food in Midtown,2024-03-28,Midtown,meal
exp89,user_039,ACCOMMODATION,282.67,USD,Hotel/Hostel in Beach Area,2024-03-29,Beach Area,travel
exp90,user_040,ACTIVITIES,88.52,USD,Tour/Adventure activity in Chinatown,2024-03-30,Chinatown,activities
exp91,user_041,FOOD,28.73,USD,Coffee break in Suburban,2024-03-31,Suburban,meal
exp92,user_042,NIGHTLIFE,70.53,USD,Bar/Club in Downtown,2024-04-01,Downtown,nightlife
exp93,user_043,NIGHTLIFE,17.83,USD,Bar/Club in Midtown,2024-04-02,Midtown,nightlife
exp94,user_044,ACTIVITIES,125.92,USD,Tour/Adventure activity in Suburban,2024-04-03,Suburban,activities
exp95,user_045,NIGHTLIFE,56.99,USD,Bar/Club in Beach Area,2024-04-04,Beach Area,nightlife
exp96,user_046,DINING,87.71,USD,Dining experience in Beach Area,2024-04-05,Beach Area,meal
exp97,user_047,NIGHTLIFE,77.61,USD,Bar/Club in Harbor,2024-04-06,Harbor,nightlife
exp98,user_048,ACTIVITIES,118.05,USD,Tour/Adventure activity in Downtown,2024-04-07,Downtown,activities
exp99,user_049,FOOD,46.68,USD,Lunch at restaurant in Uptown,2024-04-08,Uptown,meal
exp100,user_050,ACCOMMODATION,217.05,USD,Hotel/Hostel in Midtown,2024-04-09,Midtown,travel
exp101,user_001,ENTERTAINMENT,127.68,USD,Concert/Movie/Show in Downtown,2024-04-10,Downtown,entertainment
exp102,user_002,FOOD,57.27,USD,Lunch at restaurant in Suburban,2024-04-11,Suburban,meal
exp103,user_003,TRANSPORT,37.5,USD,Taxi/Bus/Train rides in Uptown,2024-04-12,Uptown,travel
exp104,user_004,ACCOMMODATION,179.31,USD,Hotel/Hostel in Plaza District,2024-04-13,Plaza District,travel
exp105,user_005,ENTERTAINMENT,65.9,USD,Concert/Movie/Show in Arts District,2024-04-14,Arts District,entertainment
exp106,user_006,ENTERTAINMENT,19.55,USD,Concert/Movie/Show in Plaza District,2024-04-15,Plaza District,entertainment
exp107,user_007,SHOPPING,53.07,USD,Shopping in Uptown,2024-04-16,Uptown,shopping
exp108,user_008,TRANSPORT,39.75,USD,Taxi/Bus/Train rides in Old Town,2024-04-17,Old Town,travel
exp109,user_009,ACTIVITIES,75.82,USD,Tour/Adventure activity in Old Town,2024-04-18,Old Town,activities
exp110,user_010,NIGHTLIFE,92.3,USD,Bar/Club in Plaza District,2024-04-19,Plaza District,nightlife
exp111,user_011,FOOD,39.88,USD,Coffee break in Plaza District,2024-04-20,Plaza District,meal
exp112,user_012,ENTERTAINMENT,57.05,USD,Concert/Movie/Show in Plaza District,2024-04-21,Plaza District,entertainment
exp113,user_013,FOOD,35.3,USD,Coffee break in Old Town,2024-04-22,Old Town,meal
exp114,user_014,NIGHTLIFE,72.85,USD,Bar/Club in Midtown,2024-04-23,Midtown,nightlife
exp115,user_015,NIGHTLIFE,21.37,USD,Bar/Club in Beach Area,2024-04-24,Beach Area,nightlife
exp116,user_016,ENTERTAINMENT,96.45,USD,Concert/Movie/Show in Beach Area,2024-04-25,Beach Area,entertainment
exp117,user_017,TRANSPORT,38.31,USD,Taxi/Bus/Train rides in Downtown,2024-04-26,Downtown,travel
exp118,user_018,NIGHTLIFE,27.58,USD,Bar/Club in Arts District,2024-04-27,Arts District,nightlife
exp119,user_019,SHOPPING,86.76,USD,Shopping in Midtown,2024-04-28,Midtown,shopping
exp120,user_020,ACCOMMODATION,152.3,USD,Hotel/Hostel in Uptown,2024-04-29,Uptown,travel
exp121,user_021,DINING,86.78,USD,Dining experience in Midtown,2024-04-30,Midtown,meal
exp122,user_022,ACCOMMODATION,209.41,USD,Hotel/Hostel in Beach Area,2024-05-01,Beach Area,travel
exp123,user_023,FOOD,64.76,USD,Lunch at restaurant in Arts District,2024-05-02,Arts District,meal
exp124,user_024,DINING,94.61,USD,Dining experience in Beach Area,2024-05-03,Beach Area,meal
exp125,user_025,SHOPPING,51.89,USD,Shopping in Plaza District,2024-05-04,Plaza District,shopping
exp126,user_026,NIGHTLIFE,41.79,USD,Bar/Club in Downtown,2024-05-05,Downtown,nightlife
exp127,user_027,ACCOMMODATION,285.7,USD,Hotel/Hostel in Uptown,2024-05-06,Uptown,travel
exp128,user_028,ENTERTAINMENT,49.86,USD,Concert/Movie/Show in Chinatown,2024-05-07,Chinatown,entertainment
exp129,user_029,FOOD,10.72,USD,Coffee break in Arts District,2024-05-08,Arts District,meal
exp130,user_030,TRANSPORT,7.61,USD,Taxi/Bus/Train rides in Arts District,2024-05-09,Arts District,travel
exp131,user_031,ENTERTAINMENT,23.33,USD,Concert/Movie/Show in Chinatown,2024-05-10,Chinatown,entertainment
exp132,user_032,ACTIVITIES,73.29,USD,Tour/Adventure activity in Downtown,2024-05-11,Downtown,activities
exp133,user_033,ACTIVITIES,140.87,USD,Tour/Adventure activity in Downtown,2024-05-12,Downtown,activities
exp134,user_034,DINING,46.54,USD,Dining experience in Uptown,2024-05-13,Uptown,meal
exp135,user_035,FOOD,61.5,USD,Coffee break in Midtown,2024-05-14,Midtown,meal
exp136,user_036,FOOD,45.07,USD,Breakfast in Midtown,2024-05-15,Midtown,meal
exp137,user_037,NIGHTLIFE,42.18,USD,Bar/Club in Chinatown,2024-05-16,Chinatown,nightlife
exp138,user_038,SHOPPING,165.23,USD,Shopping in Suburban,2024-05-17,Suburban,shopping
exp139,user_039,NIGHTLIFE,59.68,USD,Bar/Club in Plaza District,2024-05-18,Plaza District,nightlife
exp140,user_040,ACCOMMODATION,85.6,USD,Hotel/Hostel in Arts District,2024-05-19,Arts District,travel
exp141,user_041,SHOPPING,124.48,USD,Shopping in Arts District,2024-05-20,Arts District,shopping
exp142,user_042,TRANSPORT,79.41,USD,Taxi/Bus/Train rides in Chinatown,2024-05-21,Chinatown,travel
exp143,user_043,NIGHTLIFE,43.31,USD,Bar/Club in Downtown,2024-05-22,Downtown,nightlife
exp144,user_044,ENTERTAINMENT,23.63,USD,Concert/Movie/Show in Old Town,2024-05-23,Old Town,entertainment
exp145,user_045,ACTIVITIES,131.49,USD,Tour/Adventure activity in Harbor,2024-05-24,Harbor,activities
exp146,user_046,ENTERTAINMENT,21.43,USD,Concert/Movie/Show in Suburban,2024-05-25,Suburban,entertainment
exp147,user_047,ACCOMMODATION,93.22,USD,Hotel/Hostel in Uptown,2024-05-26,Uptown,travel
exp148,user_048,FOOD,34.36,USD,Street food in Chinatown,2024-05-27,Chinatown,meal
exp149,user_049,ACCOMMODATION,144.92,USD,Hotel/Hostel in Downtown,2024-05-28,Downtown,travel
exp150,user_050,TRANSPORT,78.77,USD,Taxi/Bus/Train rides in Downtown,2024-05-29,Downtown,travel
exp151,user_001,SHOPPING,196.72,USD,Shopping in Old Town,2024-05-30,Old Town,shopping
exp152,user_002,NIGHTLIFE,17.04,USD,Bar/Club in Plaza District,2024-05-31,Plaza District,nightlife
exp153,user_003,ACTIVITIES,186.6,USD,Tour/Adventure activity in Arts District,2024-06-01,Arts District,activities
exp154,user_004,SHOPPING,119.76,USD,Shopping in Beach Area,2024-06-02,Beach Area,shopping
exp155,user_005,DINING,47.44,USD,Dining experience in Beach Area,2024-06-03,Beach Area,meal
exp156,user_006,DINING,20.09,USD,Dining experience in Midtown,2024-06-04,Midtown,meal
exp157,user_007,NIGHTLIFE,60.28,USD,Bar/Club in Old Town,2024-06-05,Old Town,nightlife
exp158,user_008,ACCOMMODATION,182.22,USD,Hotel/Hostel in Downtown,2024-06-06,Downtown,travel
exp159,user_009,FOOD,63.62,USD,Dinner at restaurant in Suburban,2024-06-07,Suburban,meal
exp160,user_010,ACTIVITIES,142.83,USD,Tour/Adventure activity in Downtown,2024-06-08,Downtown,activities
exp161,user_011,DINING,99.1,USD,Dining experience in Arts District,2024-06-09,Arts District,meal
exp162,user_012,ACCOMMODATION,137.46,USD,Hotel/Hostel in Old Town,2024-06-10,Old Town,travel
exp163,user_013,FOOD,10.25,USD,Street food in Downtown,2024-06-11,Downtown,meal
exp164,user_014,ACCOMMODATION,94.1,USD,Hotel/Hostel in Arts District,2024-06-12,Arts District,travel
exp165,user_015,NIGHTLIFE,64.29,USD,Bar/Club in Uptown,2024-06-13,Uptown,nightlife
exp166,user_016,TRANSPORT,69.95,USD,Taxi/Bus/Train rides in Midtown,2024-06-14,Midtown,travel
exp167,user_017,ACTIVITIES,122.32,USD,Tour/Adventure activity in Uptown,2024-06-15,Uptown,activities
exp168,user_018,ACTIVITIES,154.45,USD,Tour/Adventure activity in Midtown,2024-06-16,Midtown,activities
exp169,user_019,ACCOMMODATION,83.46,USD,Hotel/Hostel in Downtown,2024-06-17,Downtown,travel
exp170,user_020,DINING,35.63,USD,Dining experience in Midtown,2024-06-18,Midtown,meal
exp171,user_021,NIGHTLIFE,69.37,USD,Bar/Club in Chinatown,2024-06-19,Chinatown,nightlife
exp172,user_022,NIGHTLIFE,25.9,USD,Bar/Club in Harbor,2024-06-20,Harbor,nightlife
exp173,user_023,ENTERTAINMENT,93.35,USD,Concert/Movie/Show in Downtown,2024-06-21,Downtown,entertainment
exp174,user_024,FOOD,43.94,USD,Café meal in Harbor,2024-06-22,Harbor,meal
exp175,user_025,DINING,87.74,USD,Dining experience in Old Town,2024-06-23,Old Town,meal
exp176,user_026,FOOD,25.96,USD,Breakfast in Suburban,2024-06-24,Suburban,meal
exp177,user_027,ACTIVITIES,130.09,USD,Tour/Adventure activity in Downtown,2024-06-25,Downtown,activities
exp178,user_028,FOOD,22.8,USD,Café meal in Harbor,2024-06-26,Harbor,meal
exp179,user_029,DINING,50.6,USD,Dining experience in Midtown,2024-06-27,Midtown,meal
exp180,user_030,ACTIVITIES,145.16,USD,Tour/Adventure activity in Uptown,2024-06-28,Uptown,activities
exp181,user_031,ACTIVITIES,28.98,USD,Tour/Adventure activity in Chinatown,2024-06-29,Chinatown,activities
exp182,user_032,SHOPPING,126.57,USD,Shopping in Midtown,2024-06-30,Midtown,shopping
exp183,user_033,ENTERTAINMENT,145.63,USD,Concert/Movie/Show in Suburban,2024-07-01,Suburban,entertainment
exp184,user_034,TRANSPORT,12.51,USD,Taxi/Bus/Train rides in Midtown,2024-07-02,Midtown,travel
exp185,user_035,NIGHTLIFE,64.58,USD,Bar/Club in Old Town,2024-07-03,Old Town,nightlife
exp186,user_036,FOOD,63.83,USD,Coffee break in Uptown,2024-07-04,Uptown,meal
exp187,user_037,FOOD,16.67,USD,Coffee break in Old Town,2024-07-05,Old Town,meal
exp188,user_038,TRANSPORT,52.38,USD,Taxi/Bus/Train rides in Downtown,2024-07-06,Downtown,travel
exp189,user_039,TRANSPORT,55.83,USD,Taxi/Bus/Train rides in Old Town,2024-07-07,Old Town,travel
exp190,user_040,NIGHTLIFE,94.66,USD,Bar/Club in Beach Area,2024-07-08,Beach Area,nightlife
exp191,user_041,FOOD,36.21,USD,Coffee break in Midtown,2024-07-09,Midtown,meal
exp192,user_042,NIGHTLIFE,66.74,USD,Bar/Club in Harbor,2024-07-10,Harbor,nightlife
exp193,user_043,ACTIVITIES,106.39,USD,Tour/Adventure activity in Harbor,2024-07-11,Harbor,activities
exp194,user_044,ACCOMMODATION,237.27,USD,Hotel/Hostel in Old Town,2024-07-12,Old Town,travel
exp195,user_045,ACCOMMODATION,79.57,USD,Hotel/Hostel in Beach Area,2024-07-13,Beach Area,travel
exp196,user_046,DINING,68.04,USD,Dining experience in Midtown,2024-07-14,Midtown,meal
exp197,user_047,DINING,45.49,USD,Dining experience in Beach Area,2024-07-15,Beach Area,meal
exp198,user_048,ACTIVITIES,111.93,USD,Tour/Adventure activity in Beach Area,2024-07-16,Beach Area,activities
exp199,user_049,ACTIVITIES,189.53,USD,Tour/Adventure activity in Chinatown,2024-07-17,Chinatown,activities
exp200,user_050,TRANSPORT,64.32,USD,Taxi/Bus/Train rides in Downtown,2024-07-18,Downtown,travel
exp201,user_001,ACCOMMODATION,163.59,USD,Hotel/Hostel in Chinatown,2024-07-19,Chinatown,travel
exp202,user_002,DINING,59.32,USD,Dining experience in Midtown,2024-07-20,Midtown,meal
exp203,user_003,FOOD,46.32,USD,Dessert in Midtown,2024-07-21,Midtown,meal
exp204,user_004,DINING,38.68,USD,Dining experience in Downtown,2024-07-22,Downtown,meal
exp205,user_005,ACTIVITIES,165.41,USD,Tour/Adventure activity in Harbor,2024-07-23,Harbor,activities
exp206,user_006,ACTIVITIES,90.38,USD,Tour/Adventure activity in Arts District,2024-07-24,Arts District,activities
exp207,user_007,ACTIVITIES,150.73,USD,Tour/Adventure activity in Old Town,2024-07-25,Old Town,activities
exp208,user_008,FOOD,76.99,USD,Lunch at restaurant in Midtown,2024-07-26,Midtown,meal
exp209,user_009,FOOD,49.24,USD,Breakfast in Old Town,2024-07-27,Old Town,meal
exp210,user_010,FOOD,72.4,USD,Café meal in Downtown,2024-07-28,Downtown,meal
exp211,user_011,NIGHTLIFE,76.61,USD,Bar/Club in Uptown,2024-07-29,Uptown,nightlife
exp212,user_012,TRANSPORT,73.85,USD,Taxi/Bus/Train rides in Suburban,2024-07-30,Suburban,travel
exp213,user_013,NIGHTLIFE,37.76,USD,Bar/Club in Downtown,2024-07-31,Downtown,nightlife
exp214,user_014,FOOD,12.5,USD,Breakfast in Chinatown,2024-08-01,Chinatown,meal
exp215,user_015,ACTIVITIES,33.49,USD,Tour/Adventure activity in Chinatown,2024-08-02,Chinatown,activities
exp216,user_016,ACCOMMODATION,149.49,USD,Hotel/Hostel in Harbor,2024-08-03,Harbor,travel
exp217,user_017,NIGHTLIFE,68.84,USD,Bar/Club in Old Town,2024-08-04,Old Town,nightlife
exp218,user_018,ENTERTAINMENT,52.88,USD,Concert/Movie/Show in Arts District,2024-08-05,Arts District,entertainment
exp219,user_019,SHOPPING,50.27,USD,Shopping in Uptown,2024-08-06,Uptown,shopping
exp220,user_020,ACTIVITIES,66.0,USD,Tour/Adventure activity in Beach Area,2024-08-07,Beach Area,activities
exp221,user_021,TRANSPORT,50.36,USD,Taxi/Bus/Train rides in Downtown,2024-08-08,Downtown,travel
exp222,user_022,TRANSPORT,50.92,USD,Taxi/Bus/Train rides in Plaza District,2024-08-09,Plaza District,travel
exp223,user_023,FOOD,51.76,USD,Breakfast in Plaza District,2024-08-10,Plaza District,meal
exp224,user_024,FOOD,66.38,USD,Café meal in Downtown,2024-08-11,Downtown,meal
exp225,user_025,TRANSPORT,72.84,USD,Taxi/Bus/Train rides in Beach Area,2024-08-12,Beach Area,travel
exp226,user_026,NIGHTLIFE,56.47,USD,Bar/Club in Beach Area,2024-08-13,Beach Area,nightlife
exp227,user_027,TRANSPORT,5.41,USD,Taxi/Bus/Train rides in Uptown,2024-08-14,Uptown,travel
exp228,user_028,ENTERTAINMENT,133.26,USD,Concert/Movie/Show in Suburban,2024-08-15,Suburban,entertainment
exp229,user_029,DINING,46.31,USD,Dining experience in Suburban,2024-08-16,Suburban,meal
exp230,user_030,DINING,21.06,USD,Dining experience in Arts District,2024-08-17,Arts District,meal
exp231,user_031,SHOPPING,136.23,USD,Shopping in Beach Area,2024-08-18,Beach Area,shopping
exp232,user_032,ACCOMMODATION,152.14,USD,Hotel/Hostel in Uptown,2024-08-19,Uptown,travel
exp233,user_033,ENTERTAINMENT,102.33,USD,Concert/Movie/Show in Arts District,2024-08-20,Arts District,entertainment
exp234,user_034,FOOD,68.32,USD,Dinner at restaurant in Plaza District,2024-08-21,Plaza District,meal
exp235,user_035,FOOD,11.56,USD,Dessert in Arts District,2024-08-22,Arts District,meal
exp236,user_036,ENTERTAINMENT,27.41,USD,Concert/Movie/Show in Chinatown,2024-08-23,Chinatown,entertainment
exp237,user_037,ENTERTAINMENT,128.42,USD,Concert/Movie/Show in Arts District,2024-08-24,Arts District,entertainment
exp238,user_038,ACTIVITIES,174.83,USD,Tour/Adventure activity in Beach Area,2024-08-25,Beach Area,activities
exp239,user_039,FOOD,37.2,USD,Lunch at restaurant in Downtown,2024-08-26,Downtown,meal
exp240,user_040,NIGHTLIFE,80.19,USD,Bar/Club in Downtown,2024-08-27,Downtown,nightlife
exp241,user_041,ACTIVITIES,131.8,USD,Tour/Adventure activity in Harbor,2024-08-28,Harbor,activities
exp242,user_042,DINING,36.37,USD,Dining experience in Harbor,2024-08-29,Harbor,meal
exp243,user_043,ENTERTAINMENT,124.07,USD,Concert/Movie/Show in Suburban,2024-08-30,Suburban,entertainment
exp244,user_044,DINING,30.42,USD,Dining experience in Harbor,2024-08-31,Harbor,meal
exp245,user_045,SHOPPING,107.28,USD,Shopping in Arts District,2024-09-01,Arts District,shopping
exp246,user_046,DINING,36.54,USD,Dining experience in Midtown,2024-09-02,Midtown,meal
exp247,user_047,NIGHTLIFE,80.32,USD,Bar/Club in Plaza District,2024-09-03,Plaza District,nightlife
exp248,user_048,TRANSPORT,21.38,USD,Taxi/Bus/Train rides in Beach Area,2024-09-04,Beach Area,travel
exp249,user_049,FOOD,35.71,USD,Street food in Harbor,2024-09-05,Harbor,meal
exp250,user_050,FOOD,40.52,USD,Dinner at restaurant in Arts District,2024-09-06,Arts District,meal
exp251,user_001,SHOPPING,96.34,USD,Shopping in Suburban,2024-09-07,Suburban,shopping
exp252,user_002,SHOPPING,98.26,USD,Shopping in Harbor,2024-09-08,Harbor,shopping
exp253,user_003,ACCOMMODATION,272.43,USD,Hotel/Hostel in Harbor,2024-09-09,Harbor,travel
exp254,user_004,ACCOMMODATION,199.84,USD,Hotel/Hostel in Plaza District,2024-09-10,Plaza District,travel
exp255,user_005,ENTERTAINMENT,45.19,USD,Concert/Movie/Show in Midtown,2024-09-11,Midtown,entertainment
exp256,user_006,SHOPPING,190.85,USD,Shopping in Old Town,2024-09-12,Old Town,shopping
exp257,user_007,DINING,27.72,USD,Dining experience in Old Town,2024-09-13,Old Town,meal
exp258,user_008,NIGHTLIFE,77.3,USD,Bar/Club in Harbor,2024-09-14,Harbor,nightlife
exp259,user_009,ACCOMMODATION,84.28,USD,Hotel/Hostel in Plaza District,2024-09-15,Plaza District,travel
exp260,user_010,DINING,52.04,USD,Dining experience in Downtown,2024-09-16,Downtown,meal
exp261,user_011,ACCOMMODATION,243.98,USD,Hotel/Hostel in Downtown,2024-09-17,Downtown,travel
exp262,user_012,ACCOMMODATION,209.84,USD,Hotel/Hostel in Old Town,2024-09-18,Old Town,travel
exp263,user_013,NIGHTLIFE,89.88,USD,Bar/Club in Harbor,2024-09-19,Harbor,nightlife
