restaurant_id,name,cuisine_type,rating,price_range,location,average_cost,reviews_count,dietary_options,specialties,opening_hours
r30,Italian Kitchen 30,ITALIAN,9.6,Medium,Tech Park,47.92,655,"Gluten-free, Low-Carb","Pizza, Seafood Pasta, Pasta",10 AM - 11 PM
r31,Trattoria,ITALIAN,9.7,High,Arts District,84.96,480,"Organic, Kosher, Low-Carb","Risotto, Seafood Pasta, Pasta",9 AM - 10 PM
r32,The Italian Place 32,ITALIAN,9.7,Medium,Suburban,54.04,101,"Halal, Gluten-free, Vegan, Kosher","Seafood Pasta, Pasta, Pizza",11 AM - 11 PM
r33,Trattoria 33,ITALIAN,9.7,Medium,Old Town,39.05,516,Organic,"Pasta, Pizza, Seafood Pasta",9 AM - 10 PM
r34,Bella Italia,ITALIAN,9.2,Low,Arts District,12.78,443,"Gluten-free, Low-Carb","Seafood Pasta, Risotto, Pasta",10 AM - 10 PM
r35,Italian 35,ITALIAN,9.2,Medium,Riverside,34.1,262,Organic,"Pizza, Pasta, Risotto",9 AM - 10 PM
r36,Bella Italia 36,ITALIAN,9.0,Medium,Tech Park,57.91,379,"Gluten-free, Low-Carb","Risotto, Pasta, Pizza",12 AM - 11 PM
r37,Roma,ITALIAN,9.7,High,Entertainment District,97.61,511,"Gluten-free, Low-Carb","Risotto, Pizza, Pasta",11 AM - 11 PM
r38,Italian House 38,ITALIAN,8.7,Low,Old Town,15.65,584,Organic,"Pizza, Seafood Pasta, Risotto",9 AM - 10 PM
r39,Bella Italia 39,ITALIAN,9.5,Medium,Harbor,51.72,651,"Organic, Vegetarian","Risotto, Pasta, Seafood Pasta",12 AM - 10 PM
r40,Bella Italia,ITALIAN,9.9,High,Financial District,83.53,361,"Vegetarian, Vegan","Pasta, Risotto, Seafood Pasta",12 AM - 10 PM
r41,Italian Kitchen 41,ITALIAN,9.4,Medium,Uptown,51.68,765,"Vegetarian, Vegan","Pasta, Pizza, Seafood Pasta",10 AM - 10 PM
r42,Italian 42,ITALIAN,9.5,Medium,Financial District,48.96,513,"Vegetarian, Vegan","Risotto, Pizza, Pasta",10 AM - 11 PM
r43,Italian 43,ITALIAN,8.8,High,Uptown,90.5,300,Organic,"Risotto, Seafood Pasta, Pizza",9 AM - 10 PM
r44,Bella Italia 44,ITALIAN,9.3,Low,Mountain View,20.59,857,Organic,"Pizza, Pasta, Risotto",11 AM - 10 PM
r45,Bella Italia 45,ITALIAN,9.3,Very High,Mountain View,163.7,751,"Gluten-free, Low-Carb","Pasta, Risotto, Seafood Pasta",9 AM - 10 PM
r46,Italian House,ITALIAN,8.6,Very High,Arts District,134.38,626,"Organic, Kosher, Low-Carb","Pizza, Risotto, Pasta",12 AM - 10 PM
r47,Italian Kitchen 47,ITALIAN,10.0,Low,Arts District,27.2,722,Organic,"Risotto, Seafood Pasta, Pizza",11 AM - 11 PM
r48,Italian 48,ITALIAN,9.1,High,Mountain View,69.06,291,"Gluten-free, Low-Carb","Seafood Pasta, Pasta, Risotto",10 AM - 10 PM
r49,Roma,ITALIAN,9.9,Medium,Arts District,33.59,907,"Vegan, Gluten-free","Risotto, Seafood Pasta, Pizza",10 AM - 11 PM
r50,The Italian Place 50,ITALIAN,9.6,Very High,Chinatown,153.81,692,"Halal, Kosher","Pizza, Seafood Pasta, Pasta",11 AM - 10 PM
r51,Italian House 51,ITALIAN,10.0,Low,Harbor,18.66,152,Organic,"Pizza, Risotto, Seafood Pasta",11 AM - 11 PM
r52,Bella Italia,ITALIAN,9.3,High,Downtown,77.0,167,Organic,"Seafood Pasta, Risotto, Pasta",11 AM - 10 PM
r53,Bella Italia 53,ITALIAN,9.1,Low,Downtown,14.65,307,"Organic, Vegetarian","Seafood Pasta, Risotto, Pasta",9 AM - 11 PM
r54,Italian Kitchen 54,ITALIAN,8.6,Very High,Suburban,119.9,793,"Vegan, Gluten-free","Seafood Pasta, Pasta, Pizza",11 AM - 11 PM
r55,Italian 55,ITALIAN,9.2,Low,Chinatown,11.96,347,"Vegetarian, Vegan","Pizza, Pasta, Risotto",12 AM - 10 PM
r56,Italian House 56,ITALIAN,9.4,High,Entertainment District,63.59,658,"Vegan, Gluten-free","Pizza, Seafood Pasta, Pasta",10 AM - 11 PM
r57,Italian 57,ITALIAN,9.8,Low,City Center,11.37,488,"Vegan, Gluten-free","Seafood Pasta, Pizza, Risotto",11 AM - 11 PM
r58,Trattoria,ITALIAN,9.9,Low,Entertainment District,10.21,150,"Organic, Kosher, Low-Carb","Seafood Pasta, Pizza, Risotto",11 AM - 11 PM
r59,Roma 59,ITALIAN,9.5,High,Riverside,93.5,235,Organic,"Seafood Pasta, Pasta, Pizza",12 AM - 10 PM
r60,Italian 60,ITALIAN,9.6,Medium,Riverside,56.38,379,"Vegan, Gluten-free","Risotto, Pizza, Pasta",12 AM - 11 PM
r61,Roma,ITALIAN,9.9,Very High,Beach Area,180.69,702,"Vegan, Gluten-free","Pasta, Pizza, Risotto",10 AM - 11 PM
r62,Trattoria 62,ITALIAN,9.9,Low,Suburban,17.94,990,"Halal, Gluten-free, Vegan, Kosher","Pasta, Risotto, Pizza",12 AM - 10 PM
r63,Trattoria 63,ITALIAN,8.9,Low,University Area,17.55,432,"Vegan, Gluten-free","Pizza, Risotto, Seafood Pasta",10 AM - 10 PM
r64,Italian 64,ITALIAN,8.5,High,Harbor,64.77,702,"Gluten-free, Low-Carb","Risotto, Pizza, Pasta",10 AM - 11 PM
r65,Bella Italia 65,ITALIAN,9.7,Low,Downtown,20.55,769,"Halal, Gluten-free, Vegan, Kosher","Pizza, Pasta, Risotto",12 AM - 10 PM
r66,The Italian Place 66,ITALIAN,9.5,Low,Suburban,13.2,950,"Vegan, Gluten-free","Seafood Pasta, Pizza, Pasta",10 AM - 11 PM
r67,Roma,ITALIAN,9.3,Medium,Harbor,34.35,717,"Halal, Gluten-free, Vegan, Kosher","Risotto, Seafood Pasta, Pizza",12 AM - 11 PM
r68,Bella Italia 68,ITALIAN,9.1,Low,Financial District,17.05,206,"Organic, Vegetarian","Pasta, Risotto, Pizza",10 AM - 10 PM
r69,Bella Italia 69,ITALIAN,9.2,High,Downtown,90.75,508,Organic,"Risotto, Pasta, Pizza",9 AM - 10 PM
r70,Trattoria,ITALIAN,8.7,Medium,Financial District,37.64,914,"Gluten-free, Low-Carb","Seafood Pasta, Risotto, Pizza",12 AM - 10 PM
r71,Italian House 71,ITALIAN,8.9,Very High,Financial District,187.1,737,"Halal, Gluten-free, Vegan, Kosher","Seafood Pasta, Pasta, Pizza",11 AM - 10 PM
r72,Trattoria 72,ITALIAN,9.3,High,Entertainment District,82.7,188,"Vegan, Gluten-free","Seafood Pasta, Pasta, Risotto",11 AM - 11 PM
r73,Roma,ITALIAN,8.7,Very High,Chinatown,179.01,372,"Organic, Kosher, Low-Carb","Seafood Pasta, Pizza, Risotto",12 AM - 10 PM
r74,Roma 74,ITALIAN,8.5,Low,City Center,20.04,62,"Vegetarian, Vegan","Seafood Pasta, Pasta, Risotto",10 AM - 11 PM
r75,Roma 75,ITALIAN,8.6,High,Riverside,98.52,86,"Halal, Kosher","Pasta, Risotto, Seafood Pasta",10 AM - 11 PM
r76,Roma,ITALIAN,9.9,Very High,Mountain View,125.63,541,"Vegetarian, Vegan","Pizza, Seafood Pasta, Risotto",9 AM - 11 PM
r77,Italian 77,ITALIAN,9.6,Medium,Old Town,44.18,538,Organic,"Pizza, Pasta, Seafood Pasta",9 AM - 11 PM
r78,Italian Kitchen 78,ITALIAN,9.3,Medium,University Area,38.76,887,"Gluten-free, Low-Carb","Seafood Pasta, Pasta, Risotto",9 AM - 10 PM
r79,The Italian Place,ITALIAN,9.0,Low,Chinatown,25.9,63,Organic,"Risotto, Seafood Pasta, Pasta",10 AM - 11 PM
r80,Italian Kitchen 80,ITALIAN,9.2,Low,City Center,27.64,938,"Organic, Kosher, Low-Carb","Seafood Pasta, Risotto, Pizza",9 AM - 11 PM
r81,Italian Kitchen 81,ITALIAN,9.7,High,Harbor,60.28,189,"Vegan, Gluten-free","Pasta, Seafood Pasta, Pizza",9 AM - 11 PM
r82,The Italian Place,ITALIAN,9.3,High,Financial District,64.02,502,Organic,"Risotto, Seafood Pasta, Pasta",12 AM - 11 PM
r83,Italian 83,ITALIAN,9.5,Very High,Downtown,145.55,311,"Halal, Kosher","Pasta, Seafood Pasta, Risotto",12 AM - 11 PM
r84,The Italian Place 84,ITALIAN,9.9,Low,Riverside,24.46,294,"Vegetarian, Vegan","Pizza, Pasta, Risotto",11 AM - 10 PM
r85,Italian House,ITALIAN,8.7,Medium,Riverside,33.47,564,"Organic, Kosher, Low-Carb","Pasta, Pizza, Risotto",10 AM - 10 PM
r86,Italian 86,ITALIAN,9.8,Low,Entertainment District,12.96,135,"Vegetarian, Vegan","Pasta, Seafood Pasta, Pizza",9 AM - 10 PM
r87,Italian Kitchen 87,ITALIAN,8.8,Very High,Suburban,156.16,268,"Halal, Kosher","Risotto, Pizza, Seafood Pasta",12 AM - 10 PM
r88,Italian House,ITALIAN,8.8,High,Riverside,64.18,857,"Gluten-free, Low-Carb","Pizza, Seafood Pasta, Risotto",10 AM - 10 PM
r89,Italian Kitchen 89,ITALIAN,9.4,High,Chinatown,78.51,441,"Vegan, Gluten-free","Pizza, Seafood Pasta, Pasta",9 AM - 11 PM
r90,The Italian Place 90,ITALIAN,9.5,Low,Arts District,18.88,913,"Gluten-free, Low-Carb","Seafood Pasta, Pasta, Pizza",9 AM - 10 PM
r91,Italian Kitchen,ITALIAN,8.5,High,City Center,77.34,452,Organic,"Pizza, Risotto, Seafood Pasta",12 AM - 11 PM
r92,Italian Kitchen 92,ITALIAN,8.8,High,Mountain View,78.16,427,"Gluten-free, Low-Carb","Seafood Pasta, Risotto, Pasta",10 AM - 11 PM
r93,Trattoria 93,ITALIAN,9.1,High,Beach Area,99.53,777,"Organic, Kosher, Low-Carb","Pizza, Seafood Pasta, Pasta",12 AM - 11 PM
r94,Bella Italia,ITALIAN,9.1,Very High,University Area,152.96,402,"Gluten-free, Low-Carb","Pizza, Risotto, Seafood Pasta",12 AM - 10 PM
r95,Italian House 95,ITALIAN,9.6,High,City Center,73.05,82,Organic,"Seafood Pasta, Pizza, Pasta",9 AM - 10 PM
r96,Italian Kitchen 96,ITALIAN,8.7,Medium,University Area,59.48,803,"Halal, Gluten-free, Vegan, Kosher","Risotto, Pizza, Seafood Pasta",9 AM - 11 PM
r97,Bella Italia,ITALIAN,9.8,Very High,Riverside,184.84,611,Organic,"Seafood Pasta, Pizza, Pasta",10 AM - 11 PM
r98,Roma 98,ITALIAN,9.7,Low,Downtown,26.23,894,"Organic, Vegetarian","Pasta, Seafood Pasta, Pizza",12 AM - 10 PM
r99,Italian House 99,ITALIAN,9.6,High,Downtown,77.47,253,"Vegetarian, Vegan","Pasta, Pizza, Seafood Pasta",10 AM - 10 PM
r100,Italian House,ITALIAN,8.9,Low,Harbor,19.18,301,Organic,"Risotto, Pizza, Seafood Pasta",11 AM - 11 PM
r101,Italian House 101,ITALIAN,9.1,Low,Suburban,14.6,69,"Gluten-free, Low-Carb","Pasta, Pizza, Risotto",11 AM - 11 PM
r102,Roma 102,ITALIAN,9.1,Very High,Entertainment District,139.63,542,Organic,"Pasta, Seafood Pasta, Pizza",11 AM - 10 PM
r103,Roma,ITALIAN,9.2,High,Tech Park,74.95,630,"Gluten-free, Low-Carb","Pasta, Seafood Pasta, Pizza",10 AM - 11 PM
r104,Italian House 104,ITALIAN,8.6,Low,Tech Park,17.41,803,"Vegetarian, Vegan","Seafood Pasta, Pizza, Pasta",10 AM - 11 PM
r105,Italian Kitchen 105,ITALIAN,8.9,Medium,Uptown,47.11,859,"Vegetarian, Vegan","Seafood Pasta, Pizza, Pasta",10 AM - 10 PM
r106,Italian 106,ITALIAN,9.0,Very High,Harbor,173.47,101,Organic,"Pasta, Seafood Pasta, Pizza",12 AM - 10 PM
r107,Bella Italia 107,ITALIAN,9.6,Very High,Beach Area,169.84,923,"Vegetarian, Vegan","Risotto, Seafood Pasta, Pasta",11 AM - 10 PM
r108,Trattoria 108,ITALIAN,8.9,Low,Beach Area,15.78,791,"Organic, Kosher, Low-Carb","Pasta, Pizza, Risotto",10 AM - 11 PM
r109,Bella Italia,ITALIAN,8.8,Very High,Harbor,158.58,167,"Gluten-free, Low-Carb","Risotto, Pizza, Seafood Pasta",10 AM - 11 PM
r110,Italian 110,ITALIAN,10.0,Medium,Downtown,53.34,390,"Gluten-free, Low-Carb","Pizza, Seafood Pasta, Risotto",9 AM - 11 PM
r111,Italian House 111,ITALIAN,8.8,Very High,Financial District,185.78,495,"Vegan, Gluten-free","Seafood Pasta, Risotto, Pizza",12 AM - 10 PM
r112,Bella Italia,ITALIAN,9.4,High,Suburban,66.38,146,"Vegan, Gluten-free","Seafood Pasta, Pasta, Pizza",10 AM - 10 PM
r113,Italian Kitchen 113,ITALIAN,8.9,High,Beach Area,74.29,90,"Organic, Vegetarian","Pasta, Pizza, Seafood Pasta",12 AM - 10 PM
r114,Italian Kitchen 114,ITALIAN,9.1,Low,Mountain View,27.03,216,"Organic, Kosher, Low-Carb","Pasta, Pizza, Seafood Pasta",12 AM - 10 PM
r115,The Italian Place,ITALIAN,9.6,Low,Suburban,22.27,504,"Halal, Kosher","Risotto, Pizza, Pasta",12 AM - 11 PM
r116,Trattoria 116,ITALIAN,9.5,Low,Harbor,17.35,127,"Halal, Gluten-free, Vegan, Kosher","Pasta, Pizza, Seafood Pasta",12 AM - 10 PM
r117,Trattoria 117,ITALIAN,9.4,Medium,City Center,30.6,163,"Halal, Gluten-free, Vegan, Kosher","Seafood Pasta, Pasta, Pizza",12 AM - 11 PM
r118,The Italian Place,ITALIAN,9.1,Very High,Suburban,151.18,247,"Vegan, Gluten-free","Pasta, Risotto, Pizza",10 AM - 11 PM
r119,Trattoria 119,ITALIAN,9.3,Medium,Harbor,45.33,144,"Vegan, Gluten-free","Pizza, Seafood Pasta, Pasta",12 AM - 10 PM
r120,Bella Italia 120,ITALIAN,9.9,Medium,University Area,37.55,175,"Halal, Kosher","Seafood Pasta, Pizza, Pasta",9 AM - 10 PM
r121,Italian 121,ITALIAN,9.9,Low,Financial District,17.4,302,"Halal, Gluten-free, Vegan, Kosher","Risotto, Pasta, Pizza",11 AM - 11 PM
r122,Roma 122,ITALIAN,9.8,Medium,Financial District,48.05,914,"Gluten-free, Low-Carb","Pizza, Seafood Pasta, Pasta",10 AM - 11 PM
r123,Trattoria 123,ITALIAN,9.6,High,Suburban,99.98,652,"Vegetarian, Vegan","Pizza, Seafood Pasta, Pasta",12 AM - 10 PM
r124,Italian House,ITALIAN,9.7,High,Tech Park,85.61,890,"Vegan, Gluten-free","Risotto, Pizza, Seafood Pasta",11 AM - 11 PM
r125,Bella Italia 125,ITALIAN,9.0,Medium,University Area,30.53,119,"Organic, Vegetarian","Seafood Pasta, Pasta, Risotto",9 AM - 11 PM
r126,Italian House 126,ITALIAN,9.1,Medium,Arts District,50.29,684,"Halal, Kosher","Pizza, Pasta, Risotto",9 AM - 11 PM
r127,Italian 127,ITALIAN,9.6,Very High,Uptown,135.17,80,Organic,"Risotto, Pizza, Seafood Pasta",10 AM - 10 PM
r128,Roma 128,ITALIAN,9.7,Low,Suburban,24.96,999,"Vegan, Gluten-free","Pizza, Pasta, Risotto",9 AM - 11 PM
r129,Italian 129,ITALIAN,9.2,High,City Center,92.53,836,"Halal, Kosher","Pasta, Seafood Pasta, Pizza",10 AM - 10 PM
r130,Italian Kitchen,ITALIAN,8.8,Very High,Arts District,158.97,866,"Organic, Kosher, Low-Carb","Pasta, Risotto, Seafood Pasta",11 AM - 11 PM
r131,Roma 131,ITALIAN,9.7,Very High,Downtown,172.85,666,"Organic, Kosher, Low-Carb","Seafood Pasta, Pasta, Risotto",11 AM - 10 PM
r132,Italian Kitchen 132,ITALIAN,9.6,Low,Mountain View,18.4,901,"Organic, Vegetarian","Seafood Pasta, Pizza, Risotto",11 AM - 10 PM
r133,Trattoria,ITALIAN,9.3,Low,Tech Park,22.11,88,"Gluten-free, Low-Carb","Risotto, Seafood Pasta, Pasta",11 AM - 11 PM
r134,Roma 134,ITALIAN,8.7,High,City Center,62.59,788,"Gluten-free, Low-Carb","Pasta, Risotto, Seafood Pasta",12 AM - 10 PM
r135,Bella Italia 135,ITALIAN,9.7,Low,Entertainment District,18.58,617,Organic,"Risotto, Seafood Pasta, Pizza",10 AM - 10 PM
r136,Roma,ITALIAN,9.9,High,Downtown,71.64,395,"Vegetarian, Vegan","Pizza, Risotto, Seafood Pasta",10 AM - 11 PM
r137,Bella Italia 137,ITALIAN,9.7,Medium,Financial District,59.34,727,"Halal, Gluten-free, Vegan, Kosher","Risotto, Seafood Pasta, Pizza",12 AM - 11 PM
r138,Trattoria 138,ITALIAN,9.5,Low,Entertainment District,20.03,341,Organic,"Seafood Pasta, Pasta, Pizza",12 AM - 11 PM
r139,Bella Italia,ITALIAN,9.3,Medium,Entertainment District,55.69,256,Organic,"Risotto, Seafood Pasta, Pizza",10 AM - 11 PM
r140,Trattoria 140,ITALIAN,9.6,Low,Financial District,21.36,864,"Halal, Kosher","Risotto, Pasta, Pizza",9 AM - 11 PM
r141,Italian Kitchen 141,ITALIAN,8.7,Medium,City Center,35.18,569,"Vegan, Gluten-free","Pizza, Risotto, Seafood Pasta",12 AM - 11 PM
r142,Bella Italia,ITALIAN,9.8,Medium,City Center,42.62,822,"Organic, Vegetarian","Pizza, Seafood Pasta, Pasta",11 AM - 11 PM
r143,Bella Italia 143,ITALIAN,9.6,Medium,City Center,56.5,168,"Organic, Vegetarian","Risotto, Seafood Pasta, Pasta",11 AM - 11 PM
r144,Trattoria 144,ITALIAN,9.8,Medium,Suburban,31.92,72,"Organic, Vegetarian","Pasta, Seafood Pasta, Pizza",10 AM - 11 PM
r145,Italian House,ITALIAN,9.0,Medium,Suburban,40.53,416,"Gluten-free, Low-Carb","Seafood Pasta, Pizza, Pasta",9 AM - 11 PM
r146,Italian 146,ITALIAN,9.9,Low,Chinatown,24.83,165,"Halal, Kosher","Risotto, Pizza, Seafood Pasta",11 AM - 11 PM
r147,Italian 147,ITALIAN,8.8,Very High,Tech Park,155.61,916,Organic,"Pizza, Risotto, Seafood Pasta",12 AM - 10 PM
r148,The Italian Place,ITALIAN,9.8,Very High,Old Town,151.31,554,"Organic, Vegetarian","Risotto, Seafood Pasta, Pasta",10 AM - 11 PM
r149,Bella Italia 149,ITALIAN,9.6,High,Mountain View,81.75,65,"Halal, Kosher","Pasta, Seafood Pasta, Risotto",10 AM - 10 PM
r150,Bella Italia 150,ITALIAN,8.5,Low,Chinatown,26.23,66,"Vegetarian, Vegan","Seafood Pasta, Pasta, Risotto",10 AM - 11 PM
r151,Italian House,ITALIAN,8.9,High,Beach Area,76.57,146,"Halal, Kosher","Seafood Pasta, Pasta, Risotto",10 AM - 10 PM
r152,Italian 152,ITALIAN,9.3,High,Uptown,80.42,133,"Gluten-free, Low-Carb","Seafood Pasta, Pizza, Pasta",9 AM - 11 PM
r153,The Italian Place 153,ITALIAN,9.7,Medium,Beach Area,58.51,68,"Organic, Kosher, Low-Carb","Pasta, Pizza, Risotto",12 AM - 11 PM
r154,Trattoria,ITALIAN,8.6,Very High,Arts District,165.12,777,"Organic, Vegetarian","Pasta, Risotto, Seafood Pasta",12 AM - 11 PM
r155,Italian Kitchen 155,ITALIAN,9.7,Very High,City Center,196.15,622,Organic,"Seafood Pasta, Pasta, Risotto",9 AM - 10 PM
r156,Italian 156,ITALIAN,9.8,Very High,Harbor,116.92,345,"Gluten-free, Low-Carb","Risotto, Pasta, Seafood Pasta",9 AM - 11 PM
r157,Trattoria,ITALIAN,8.6,High,City Center,73.0,138,"Vegan, Gluten-free","Pizza, Risotto, Pasta",9 AM - 11 PM
r158,Trattoria 158,ITALIAN,9.5,Very High,Financial District,116.14,403,"Organic, Kosher, Low-Carb","Risotto, Seafood Pasta, Pasta",11 AM - 10 PM
r159,The Italian Place 159,ITALIAN,8.8,Very High,Uptown,181.56,216,"Gluten-free, Low-Carb","Pizza, Pasta, Risotto",11 AM - 11 PM
r160,Trattoria,ITALIAN,9.7,Very High,Suburban,177.65,745,"Vegetarian, Vegan","Risotto, Seafood Pasta, Pasta",12 AM - 10 PM
r161,The Italian Place 161,ITALIAN,9.5,Medium,Financial District,58.29,646,"Halal, Gluten-free, Vegan, Kosher","Seafood Pasta, Risotto, Pizza",11 AM - 11 PM
r162,Italian 162,ITALIAN,9.8,Low,Entertainment District,14.84,489,"Organic, Kosher, Low-Carb","Seafood Pasta, Pizza, Pasta",9 AM - 10 PM
r163,Trattoria,ITALIAN,9.1,Medium,Financial District,51.07,371,"Halal, Gluten-free, Vegan, Kosher","Pasta, Pizza, Risotto",10 AM - 11 PM
r164,Bella Italia 164,ITALIAN,9.6,Medium,Financial District,39.69,888,"Organic, Vegetarian","Risotto, Pizza, Pasta",9 AM - 11 PM
r165,Trattoria 165,ITALIAN,9.5,Medium,City Center,59.89,634,"Organic, Kosher, Low-Carb","Pasta, Pizza, Risotto",12 AM - 10 PM
r166,Italian Kitchen,ITALIAN,9.6,Medium,Suburban,55.57,565,"Vegetarian, Vegan","Pizza, Pasta, Risotto",12 AM - 10 PM
r167,Italian 167,ITALIAN,8.8,Very High,Beach Area,119.61,203,"Vegetarian, Vegan","Pizza, Seafood Pasta, Pasta",9 AM - 11 PM
r168,Italian House 168,ITALIAN,9.7,High,Tech Park,72.51,797,"Gluten-free, Low-Carb","Seafood Pasta, Pizza, Pasta",11 AM - 10 PM
r169,The Italian Place,ITALIAN,8.6,Low,University Area,21.72,192,"Organic, Vegetarian","Pasta, Risotto, Seafood Pasta",10 AM - 10 PM
r170,Italian Kitchen 170,ITALIAN,9.3,High,Old Town,77.19,610,"Halal, Kosher","Pasta, Risotto, Pizza",9 AM - 11 PM
r171,The Italian Place 171,ITALIAN,8.9,Low,Riverside,24.43,500,"Halal, Kosher","Risotto, Pizza, Seafood Pasta",10 AM - 11 PM
r172,Trattoria,ITALIAN,10.0,Very High,Beach Area,148.36,517,"Halal, Gluten-free, Vegan, Kosher","Seafood Pasta, Pasta, Pizza",12 AM - 10 PM
r173,Italian Kitchen 173,ITALIAN,8.5,High,Entertainment District,84.34,916,Organic,"Seafood Pasta, Pizza, Risotto",12 AM - 10 PM
r174,The Italian Place 174,ITALIAN,9.6,Low,Beach Area,24.88,194,"Gluten-free, Low-Carb","Pasta, Seafood Pasta, Pizza",12 AM - 11 PM
r175,Italian House,ITALIAN,9.7,Medium,Entertainment District,35.4,958,"Gluten-free, Low-Carb","Pizza, Pasta, Risotto",10 AM - 11 PM
r176,Italian House 176,ITALIAN,8.8,Medium,Arts District,47.23,320,"Organic, Vegetarian","Risotto, Seafood Pasta, Pizza",12 AM - 11 PM
r177,Roma 177,ITALIAN,9.7,Very High,Tech Park,184.32,661,"Vegan, Gluten-free","Pizza, Risotto, Pasta",9 AM - 11 PM
r178,Italian Kitchen,ITALIAN,9.6,High,Entertainment District,73.22,685,"Organic, Vegetarian","Pizza, Risotto, Pasta",11 AM - 10 PM
